Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0862488926483483,0.0621658734955369,0.262402039237657,0,0,0,10.8087193664072,0.0214677517054228,-0.000193020417837888,8.27218748111831E-05,0.0255926993380979,-8.0111099445782E-05,0.0121455057214487,0,0,0,0,0,0,package://车架总成/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://车架总成/meshes/base_link.STL,,悬挂主梁-13;四孔连接见-25;侧摇臂-14;装甲板总成-4;正装甲板位-2;装甲板总成-3;悬挂主梁-14;侧装甲板位-5;零件5-14;零件5-13;四孔连接见-28;四孔连接见-27;四孔连接见-26;MF126Z 6-12-13;垫块-14;垫块-13;哨兵轮胎集成-10;哨兵轮胎集成-9;零件5-11;悬挂主梁-12;四孔连接见-24;四孔连接见-23;四孔连接见-21;四孔连接见-18;垫块-12;悬挂主梁-9;零件5-10;四孔连接见-19;垫块-10;MF126Z 6-12-11;零件5-9;MF126Z 6-12-9;侧摇臂-10;垫块-9;零件5-12;侧摇臂-13;四孔连接见-20;悬挂主梁-11;四孔连接见-17;侧摇臂-12;垫块-11;悬挂主梁-10;侧摇臂-9;四孔连接见-22;侧摇臂-11;哨兵轮胎集成-1;纵梁垫高管-2;纵梁垫高管-1;车架-横梁-1;加强件纵梁-1;零件5-1;车架-前后纵梁2-1;悬挂主梁-1;零件5-2;车架-横梁-2;TB47电池+电池架-1;RmCS-cjq电池-TB47D-V2-1;车架-轮组安装管-3;下云台总成-1;平行垫块-2;平行减震-1;四孔连接见-4;平行减震-2;底板-2;装甲板总成-2;四孔连接见-1;MF126Z 6-12-2;车架-轮组安装管-2;正装甲板位-1;侧摇臂-2;四孔连接见-3;装甲板总成-1;垫块-1;一级云台连杆-1;步兵发射系统-2;侧摇臂-1;平行垫块-1;底板-1;四孔连接见-2;视觉板底壳 - 副本-2;悬挂主梁-2;侧装甲板位-3;垫块-2;哨兵轮胎集成-8,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_Link,0.00620923170793747,-0.000547653647351432,0.00828135869405194,0,0,0,0.332440985195605,0.000155022617525618,-1.23737063836232E-06,-7.45388993583784E-20,0.000160803958052241,-2.03287907341032E-20,0.00030759824693908,0,0,0,0,0,0,package://车架总成/meshes/1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://车架总成/meshes/1_Link.STL,,哨兵轮胎集成-9/全向轮（全轮）-1/中心隔离块-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/全向轮外板-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/全向轮内板-3;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/全向轮外板-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/螺母-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/铜管3X5-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/垫片-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/螺丝-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/轴承5X10X4-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5/垫片-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5/铜管3X5-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5/螺丝-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5/轴承5X10X4-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/螺母-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/垫片-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/铜管3X5-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/垫片-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/螺丝-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/轴承5X10X4-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/轴承5X10X4-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/螺母-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/垫片-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/铜管3X5-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/垫片-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/螺丝-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/轴承5X10X4-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/轴承5X10X4-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/全向轮外板-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/全向轮内板-3;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/全向轮外板-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/螺母-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/垫片-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/铜管3X5-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/垫片-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/螺丝-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/轴承5X10X4-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/轴承5X10X4-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/螺母-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/铜管3X5-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/垫片-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/螺丝-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/轴承5X10X4-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-2/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-4/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/滚花橡胶轮外-1;哨兵轮胎集成-9/全向轮（全轮）-1/麦轮联轴器-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/轴承5X10X4-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/垫片-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-2/垫片-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-2/轴承5X10X4-2;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-2/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/垫片-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-2/螺丝-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/轴承5X10X4-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/垫片-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/滚花铝柱-1;哨兵轮胎集成-9/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/轴承5X10X4-1,Origin_1,Axis_1,1,fixed,-0.142966408792554,-0.485966408792549,-0.0174999999992187,-1.5707963267949,-0.261799387799134,-0.785398163397454,base_link,0,0,0,,,,,,,,,,,,
2_Link,0.00540813251669661,-0.0618677129623183,-0.00959296954912124,0,0,0,0.272373357196352,0.00029133481281256,3.48130381346589E-05,-2.78493445186512E-07,0.000160352347453317,1.11723875949642E-06,0.000155226838194564,0,0,0,0,0,0,package://车架总成/meshes/2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://车架总成/meshes/2_Link.STL,,哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/螺母-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/铜管3X5-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/垫片-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/螺丝-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/轴承5X10X4-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/滚花铝柱-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/全向轮外板-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/全向轮内板-3;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/全向轮外板-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/螺母-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/垫片-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/铜管3X5-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/垫片-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/螺丝-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/轴承5X10X4-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/轴承5X10X4-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/滚花铝柱-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/垫片-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/铜管3X5-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/螺丝-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/轴承5X10X4-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/滚花铝柱-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/全向轮外板-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/全向轮内板-3;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/全向轮外板-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/螺母-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/垫片-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/铜管3X5-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/垫片-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/螺丝-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/轴承5X10X4-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/轴承5X10X4-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/滚花铝柱-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/螺母-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/垫片-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/铜管3X5-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/垫片-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/螺丝-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/轴承5X10X4-2;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/轴承5X10X4-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/滚花铝柱-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-2/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-4/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2/滚花橡胶轮外-1;哨兵轮胎集成-10/全向轮（全轮）-1/中心隔离块-1;哨兵轮胎集成-10/全向轮（全轮）-1/麦轮联轴器-1,Origin_2,Axis_2,2,fixed,-0.101925545684657,0.0131285922440031,0.0267999263561746,2.22105776873922,0.195856521558942,2.50314862806191,base_link,0,0,0,,,,,,,,,,,,
3_Link,8.61533397830683E-06,-1.49221961713991E-05,0.00811341709646876,0,0,0,0.405088777295711,0.000163343390473993,-1.28128815286042E-06,3.59141969635823E-19,0.000164822894593924,-2.10064170919066E-19,0.000318778294539942,0,0,0,0,0,0,package://车架总成/meshes/3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://车架总成/meshes/3_Link.STL,,哨兵轮胎集成-8/全向轮（全轮）-1/中心隔离块-1;哨兵轮胎集成-8/全向轮（全轮）-1/麦轮联轴器-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/全向轮外板-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/全向轮内板-3;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/全向轮外板-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/螺母-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/垫片-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/铜管3X5-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/垫片-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/螺丝-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/轴承5X10X4-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/轴承5X10X4-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/滚花铝柱-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-7/滚花橡胶轮外-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-6;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-5;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-4;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-3;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-2/滚花橡胶轮组装-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/全向轮外板-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/全向轮内板-3;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/全向轮外板-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/螺母-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/垫片-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/铜管3X5-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/垫片-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/螺丝-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/轴承5X10X4-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/轴承5X10X4-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/滚花铝柱-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-7/滚花橡胶轮外-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/螺母-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/垫片-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/铜管3X5-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/垫片-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/螺丝-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/轴承5X10X4-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/轴承5X10X4-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/滚花铝柱-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-6/滚花橡胶轮外-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/螺母-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/垫片-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/铜管3X5-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/垫片-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/螺丝-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/轴承5X10X4-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/轴承5X10X4-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/滚花铝柱-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-5/滚花橡胶轮外-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/螺母-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/垫片-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/铜管3X5-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/垫片-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/螺丝-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/轴承5X10X4-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/轴承5X10X4-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/滚花铝柱-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-4/滚花橡胶轮外-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/螺母-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/垫片-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/铜管3X5-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/垫片-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/螺丝-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/轴承5X10X4-2;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/轴承5X10X4-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/滚花铝柱-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-3/滚花橡胶轮外-1;哨兵轮胎集成-8/全向轮（全轮）-1/单边轮-1/滚花橡胶轮组装-2,Origin_3,Axis_3,3,fixed,0.31296640879255,-0.0300335912074498,-0.0174999999989849,1.57079632679489,0.261799387799135,-0.785398163397455,base_link,0,0,0,,,,,,,,,,,,
